import time: self [us] | cumulative | imported package
import time:       176 |        362 |                                                 email.encoders
import time:       242 |        603 |                                               email.charset
import time:       507 |       1630 |                                             email.header
import time:      1029 |       1029 |                                                 ipaddress
import time:       841 |       1870 |                                               urllib.parse
import time:       290 |        290 |                                               email._parseaddr
import time:       431 |       2590 |                                             email.utils
import time:       338 |       4557 |                                           email._policybase
import time:       454 |       5468 |                                         email.feedparser
import time:       574 |       6042 |                                       email.parser
import time:       305 |        305 |                                         email._encoded_words
import time:       209 |        209 |                                         email.iterators
import time:      1833 |       2347 |                                       email.message
import time:       918 |        918 |                                           select
import time:       522 |       1440 |                                         selectors
import time:       618 |        618 |                                         array
import time:       988 |       3045 |                                       socket
import time:      1613 |       1613 |                                         _ssl
import time:      1296 |       2909 |                                       ssl
import time:      1123 |      16139 |                                     http.client
import time:       695 |        695 |                                         zlib
import time:       286 |        286 |                                           _compression
import time:       601 |        601 |                                           _bz2
import time:       337 |       1223 |                                         bz2
import time:      1067 |       1067 |                                           _lzma
import time:       264 |       1330 |                                         lzma
import time:       683 |       3928 |                                       shutil
import time:       548 |       4476 |                                     tempfile
import time:       267 |        267 |                                       urllib.response
import time:       291 |        558 |                                     urllib.error
import time:       822 |        822 |                                     _scproxy
import time:      2679 |      25382 |                                   urllib.request
import time:       744 |        744 |                                   httpx._exceptions
import time:       703 |        703 |                                       calendar
import time:      1611 |       2314 |                                     http.cookiejar
import time:        47 |         47 |                                           _winapi
import time:        39 |         39 |                                           winreg
import time:       470 |        555 |                                         mimetypes
import time:       841 |        841 |                                         httpx._types
import time:       331 |        331 |                                         httpx._utils
import time:       474 |       2200 |                                       httpx._multipart
import time:       378 |       2578 |                                     httpx._content
import time:       116 |        116 |                                       brotli
import time:        60 |         60 |                                       brotlicffi
import time:        53 |         53 |                                       zstandard
import time:       485 |        712 |                                     httpx._decoders
import time:       844 |        844 |                                     httpx._status_codes
import time:       467 |        467 |                                           idna.idnadata
import time:       679 |        679 |                                           idna.intranges
import time:       951 |       2095 |                                         idna.core
import time:       273 |        273 |                                         idna.package_data
import time:       318 |       2685 |                                       idna
import time:      1270 |       1270 |                                       httpx._urlparse
import time:       619 |       4572 |                                     httpx._urls
import time:       732 |      11750 |                                   httpx._models
import time:       453 |      43199 |                                 httpx._auth
import time:       322 |        322 |                                 httpx._config
import time:       282 |        282 |                                       httpx._transports.base
import time:       432 |        714 |                                     httpx._transports.asgi
import time:       435 |        435 |                                     httpx._transports.default
import time:       306 |        306 |                                     httpx._transports.mock
import time:       482 |        482 |                                     httpx._transports.wsgi
import time:       148 |       2083 |                                   httpx._transports
import time:        15 |       2097 |                                 httpx._transports.base
import time:       762 |      46378 |                               httpx._client
import time:      1275 |      47653 |                             httpx._api
import time:       683 |        683 |                                   gettext
import time:       923 |        923 |                                       _uuid
import time:       451 |       1373 |                                     uuid
